2016-12-23 02:42:36,117 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-23 02:42:36,117 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-12-23 02:53:06,796 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-23 02:53:06,797 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-23 02:53:06,799 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-23 02:53:06,800 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-12-23 02:53:39,332 [Worker-52] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Adwiti\Hadoop\WordCount
2016-12-23 02:53:39,332 [Worker-52] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean install
2016-12-30 19:16:22,960 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 19:16:22,967 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-30 19:16:22,975 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 19:16:22,977 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-12-30 19:37:19,815 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 19:37:19,820 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-30 19:37:19,821 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 19:37:19,822 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-12-30 19:37:31,981 [Worker-30] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Adwiti\Hadoop\WordCount
2016-12-30 19:37:31,982 [Worker-30] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean install
2016-12-30 21:02:30,445 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 21:02:30,447 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-30 21:02:30,449 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 21:02:30,450 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-12-30 21:02:36,337 [Worker-69] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Adwiti\Hadoop\WordCount
2016-12-30 21:02:36,337 [Worker-69] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean install
2016-12-30 21:08:13,368 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 21:08:13,370 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-30 21:08:13,372 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 21:08:13,373 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-12-30 21:15:06,122 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 21:15:06,123 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-30 21:15:06,125 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 21:15:06,126 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-12-30 21:15:20,586 [Worker-78] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Adwiti\Hadoop\WordCount
2016-12-30 21:15:20,586 [Worker-78] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean install
2016-12-30 21:15:20,758 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 21:15:20,760 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-30 21:15:20,762 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 21:15:20,763 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-12-30 21:26:50,972 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 21:26:50,974 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-30 21:26:50,975 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 21:26:50,976 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-12-30 21:28:21,177 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 21:28:21,178 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-30 21:28:21,181 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-30 21:28:21,182 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-12-30 21:28:26,688 [Worker-82] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Adwiti\Hadoop\WordCount
2016-12-30 21:28:26,689 [Worker-82] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean install
